Dataset,file_path,column,exists,null_count
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,SIFT_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,SIFT_converted_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,SIFT_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,SIFT4G_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,SIFT4G_converted_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,SIFT4G_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,Polyphen2_HDIV_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,Polyphen2_HDIV_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,Polyphen2_HDIV_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,Polyphen2_HVAR_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,Polyphen2_HVAR_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,Polyphen2_HVAR_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MutationTaster_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MutationTaster_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MutationTaster_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaSVM_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaSVM_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaSVM_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaLR_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaLR_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaLR_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaRNN_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaRNN_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MetaRNN_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,M-CAP_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,M-CAP_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,M-CAP_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,REVEL_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,REVEL_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,REVEL_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MutPred2_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MutPred2_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MutPred2_pred,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MVP_score,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MVP_rankscore,True,0
proteingym,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,MVP_pred,True,0
