Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm2_650m,PyTorch_CrossAttn,0.8009,0.9,0.6724,0.9268,0.7697,0.6205,0.9081,0.9001
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.8037,0.8804,0.6983,0.907,0.7788,0.6198,0.907,0.9014
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Pure_XGBoost_Concat,0.808,0.8447,0.75,0.8648,0.7945,0.6193,0.8969,0.9017
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.808,0.8447,0.75,0.8648,0.7945,0.6193,0.9021,0.8927
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Hybrid_CrossAttn_XGBoost,0.8051,0.8625,0.7213,0.8873,0.7856,0.6178,0.902,0.8962
Train1Val_ClinVarHQ,cls,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_CrossAttn,0.8037,0.8723,0.7069,0.8986,0.781,0.6177,0.8998,0.8991
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm2_650m,Hybrid_Concat_XGBoost,0.8065,0.8487,0.7414,0.8704,0.7914,0.6174,0.8898,0.8738
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8065,0.8487,0.7414,0.8704,0.7914,0.6174,0.8921,0.8852
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Gating,0.8009,0.8852,0.6868,0.9127,0.7735,0.6162,0.8967,0.8973
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Concat,0.798,0.8992,0.6667,0.9268,0.7657,0.6156,0.8956,0.885
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Concat,0.8009,0.8824,0.6897,0.9099,0.7742,0.6154,0.9022,0.8924
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm2_650m,Hybrid_Concat_XGBoost,0.8051,0.8459,0.7414,0.8676,0.7902,0.6144,0.8848,0.872
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Concat,0.7952,0.908,0.6523,0.9352,0.7592,0.6136,0.9043,0.8951
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8051,0.8392,0.75,0.8592,0.7921,0.6132,0.8976,0.8896
