Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB,FM_GFLOPs/Sample,FM_Latency_ms/Sample,Geom_GFLOPs/Sample,Geom_Latency_ms/Sample,Classifier_GFLOPs/Sample,Classifier_Latency_ms/Sample,Classifier_Total_Params,Classifier_Param_Mem_MB,Classifier_XGB_Model_Mem_MB,Classifier_Peak_VRAM_MB
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train1Val_UniProt,216.1122,8.88,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train1Val_ProteinGym,216.1122,8.9,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train1Val_Test,216.1206,8.54,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train1Val_ClinVarHQ,216.1206,8.97,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train1Val_UniProt,216.1206,8.88,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train1Val_ProteinGym,216.1206,8.9,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train1Val_Test,216.1128,8.54,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train1Val_ClinVarHQ,216.1128,8.97,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train1Val_UniProt,216.1128,8.88,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train1Val_ProteinGym,216.1128,8.9,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train1Val_Test,211.0135,12.38,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train1Val_ClinVarHQ,211.0135,12.62,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train1Val_UniProt,211.0135,12.62,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train1Val_ProteinGym,211.0135,12.49,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train1Val_Test,211.0135,12.39,1308164082,3745.98,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train1Val_ClinVarHQ,211.0135,12.63,1308164082,3745.98,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train1Val_UniProt,211.0135,12.63,1308164082,3745.98,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train1Val_ProteinGym,211.0135,12.5,1308164082,3745.98,3643.92,,,,,,,,,,
